@relation temperature,
,
@attribute Temperature numeric,
@attribute Date date 'yyyy-MM-dd',
,
@data,
28,2010-09-06
29,2010-09-07
29,2010-09-08
30,2010-09-09
27,2010-09-10
29,2010-09-11
29,2010-09-12
30,2010-09-13
29,2010-09-14
29,2010-09-15
29,2010-09-16
29,2010-09-17
31,2010-09-18
31,2010-09-19
30,2010-09-20
31,2010-09-21
30,2010-09-22
31,2010-09-23
31,2010-09-24
29,2010-09-25
31,2010-09-26
31,2010-09-27
32,2010-09-28
31,2010-09-29
31,2010-09-30
32,2010-10-01
31,2010-10-02
32,2010-10-03
31,2010-10-04
32,2010-10-05
31,2010-10-06
31,2010-10-07
32,2010-10-08
31,2010-10-09
30,2010-10-10
30,2010-10-11
31,2010-10-12
31,2010-10-13
30,2010-10-14
30,2010-10-15
30,2010-10-16
31,2010-10-17
31,2010-10-18
31,2010-10-19
33,2010-10-20
30,2010-10-21
30,2010-10-22
31,2010-10-23
30,2010-10-24
33,2010-10-25
27,2010-10-26
34,2010-10-27
31,2010-10-28
30,2010-10-29
31,2010-10-30
28,2010-10-31
28,2010-11-01
30,2010-11-02
32,2010-11-03
31,2010-11-04
32,2010-11-05
31,2010-11-06
33,2010-11-07
33,2010-11-08
32,2010-11-09
31,2010-11-10
32,2010-11-11
32,2010-11-12
33,2010-11-13
33,2010-11-14
33,2010-11-15
33,2010-11-16
34,2010-11-17
33,2010-11-18
32,2010-11-19
33,2010-11-20
28,2010-11-21
32,2010-11-22
33,2010-11-23
32,2010-11-24
34,2010-11-25
34,2010-11-26
32,2010-11-27
28,2010-11-28
29,2010-11-29
30,2010-11-30
24,2010-12-01
31,2010-12-02
31,2010-12-03
29,2010-12-04
35,2010-12-05
30,2010-12-06
31,2010-12-07
30,2010-12-08
31,2010-12-09
30,2010-12-10
30,2010-12-11
29,2010-12-12
30,2010-12-13
26,2010-12-14
29,2010-12-15
31,2010-12-16
33,2010-12-17
33,2010-12-18
32,2010-12-19
32,2010-12-20
32,2010-12-21
30,2010-12-22
32,2010-12-23
30,2010-12-24
31,2010-12-25
32,2010-12-26
31,2010-12-27
32,2010-12-28
30,2010-12-29
30,2010-12-30
29,2010-12-31
29,2011-01-01
31,2011-01-02
28,2011-01-03
32,2011-01-04
31,2011-01-05
31,2011-01-06
32,2011-01-07
30,2011-01-08
32,2011-01-09
31,2011-01-10
31,2011-01-11
31,2011-01-12
32,2011-01-13
32,2011-01-14
32,2011-01-15
32,2011-01-16
33,2011-01-17
32,2011-01-18
32,2011-01-19
32,2011-01-20
32,2011-01-21
31,2011-01-22
32,2011-01-23
30,2011-01-24
32,2011-01-25
33,2011-01-26
32,2011-01-27
33,2011-01-28
33,2011-01-29
34,2011-01-30
31,2011-01-31
32,2011-02-01
33,2011-02-02
33,2011-02-03
33,2011-02-04
31,2011-02-05
