@relation temperature

@attribute Temperature numeric
@attribute Date date 'yyyy-MM-dd'

@data
28.00,2010-09-01
29.00,2010-09-02
28.00,2010-09-03
29.00,2010-09-04
28.00,2010-09-05
28.00,2010-09-06
29.00,2010-09-07
29.00,2010-09-08
30.00,2010-09-09
27.00,2010-09-10
29.00,2010-09-11
29.00,2010-09-12
30.00,2010-09-13
29.00,2010-09-14
29.00,2010-09-15
29.00,2010-09-16
29.00,2010-09-17
31.00,2010-09-18
31.00,2010-09-19
30.00,2010-09-20
31.00,2010-09-21
30.00,2010-09-22
31.00,2010-09-23
31.00,2010-09-24
29.00,2010-09-25
31.00,2010-09-26
31.00,2010-09-27
32.00,2010-09-28
31.00,2010-09-29
31.00,2010-09-30
32.00,2010-10-01
31.00,2010-10-02
32.00,2010-10-03
31.00,2010-10-04
32.00,2010-10-05
31.00,2010-10-06
31.00,2010-10-07
32.00,2010-10-08
31.00,2010-10-09
30.00,2010-10-10
30.00,2010-10-11
31.00,2010-10-12
31.00,2010-10-13
30.00,2010-10-14
30.00,2010-10-15
30.00,2010-10-16
31.00,2010-10-17
31.00,2010-10-18
31.00,2010-10-19
33.00,2010-10-20
30.00,2010-10-21
30.00,2010-10-22
31.00,2010-10-23
30.00,2010-10-24
33.00,2010-10-25
27.00,2010-10-26
34.00,2010-10-27
31.00,2010-10-28
30.00,2010-10-29
31.00,2010-10-30
28.00,2010-10-31
28.00,2010-11-01
30.00,2010-11-02
32.00,2010-11-03
31.00,2010-11-04
32.00,2010-11-05
31.00,2010-11-06
33.00,2010-11-07
33.00,2010-11-08
32.00,2010-11-09
31.00,2010-11-10
32.00,2010-11-11
32.00,2010-11-12
33.00,2010-11-13
33.00,2010-11-14
33.00,2010-11-15
33.00,2010-11-16
34.00,2010-11-17
33.00,2010-11-18
32.00,2010-11-19
33.00,2010-11-20
28.00,2010-11-21
32.00,2010-11-22
33.00,2010-11-23
32.00,2010-11-24
34.00,2010-11-25
34.00,2010-11-26
32.00,2010-11-27
28.00,2010-11-28
29.00,2010-11-29
30.00,2010-11-30
24.00,2010-12-01
31.00,2010-12-02
31.00,2010-12-03
29.00,2010-12-04
35.00,2010-12-05
30.00,2010-12-06
31.00,2010-12-07
30.00,2010-12-08
31.00,2010-12-09
30.00,2010-12-10
30.00,2010-12-11
29.00,2010-12-12
30.00,2010-12-13
26.00,2010-12-14
29.00,2010-12-15
31.00,2010-12-16
33.00,2010-12-17
33.00,2010-12-18
32.00,2010-12-19
32.00,2010-12-20
32.00,2010-12-21
30.00,2010-12-22
32.00,2010-12-23
30.00,2010-12-24
31.00,2010-12-25
32.00,2010-12-26
31.00,2010-12-27
32.00,2010-12-28
30.00,2010-12-29
30.00,2010-12-30
29.00,2010-12-31
29.00,2011-01-01
31.00,2011-01-02
28.00,2011-01-03
32.00,2011-01-04
31.00,2011-01-05
31.00,2011-01-06
32.00,2011-01-07
30.00,2011-01-08
32.00,2011-01-09
31.00,2011-01-10
31.00,2011-01-11
31.00,2011-01-12
32.00,2011-01-13
32.00,2011-01-14
32.00,2011-01-15
32.00,2011-01-16
33.00,2011-01-17
32.00,2011-01-18
32.00,2011-01-19
32.00,2011-01-20
32.00,2011-01-21
31.00,2011-01-22
32.00,2011-01-23
30.00,2011-01-24
32.00,2011-01-25
33.00,2011-01-26
32.00,2011-01-27
33.00,2011-01-28
33.00,2011-01-29
34.00,2011-01-30
31.00,2011-01-31
32.00,2011-02-01
33.00,2011-02-02
33.00,2011-02-03
33.00,2011-02-04
31.00,2011-02-05
32.00,2011-02-06
33.00,2011-02-07
27.00,2011-02-08
32.00,2011-02-09
33.00,2011-02-10
31.00,2011-02-11
32.00,2011-02-12
30.00,2011-02-13
32.00,2011-02-14
30.00,2011-02-15
31.00,2011-02-16
31.00,2011-02-17
30.00,2011-02-18
30.00,2011-02-19
32.00,2011-02-20
33.00,2011-02-21
31.00,2011-02-22
31.00,2011-02-23
32.00,2011-02-24
31.00,2011-02-25
31.00,2011-02-26
33.00,2011-02-27
33.00,2011-02-28
32.00,2011-03-01
33.00,2011-03-02
34.00,2011-03-03
35.00,2011-03-04
34.00,2011-03-05
33.00,2011-03-06
33.00,2011-03-07
32.00,2011-03-08
33.00,2011-03-09
34.00,2011-03-10
33.00,2011-03-11
33.00,2011-03-12
34.00,2011-03-13
